City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-20.4081,57.7,294.4,88,20,1.54,MU,1670015447
1,luderitz,-26.6481,15.1594,289.39,69,0,10.79,NA,1670015447
2,moron,-34.6534,-58.6198,301.45,63,3,4.37,AR,1670015447
3,hilo,19.7297,-155.09,303.31,96,100,3.6,US,1670015447
4,ta khmau,11.4833,104.95,296.44,94,100,3.25,KH,1670015448
5,avarua,-21.2078,-159.775,301.18,78,40,4.12,CK,1670015448
6,murindo,6.9848,-76.7544,301.06,81,94,0.29,CO,1670015448
7,qaanaaq,77.484,-69.3632,254.49,62,100,3.38,GL,1670015449
8,dongsheng,39.8161,109.9776,262.64,29,100,1.94,CN,1670015315
9,punta arenas,-53.15,-70.9167,284.21,50,40,15.95,CL,1670015390
10,lebu,-37.6167,-73.65,289.91,75,12,5.11,CL,1670015270
11,cape town,-33.9258,18.4232,290.01,70,93,1.79,ZA,1670015337
12,nikolskoye,59.7035,30.7861,266.09,82,100,2.54,RU,1670015450
13,airai,-8.9266,125.4092,287.85,78,74,0.87,TL,1670015450
14,arraial do cabo,-22.9661,-42.0278,297.07,83,75,12.35,BR,1670015450
15,saldanha,-33.0117,17.9442,289.04,73,70,7.97,ZA,1670015450
16,kazachinskoye,57.6953,93.2761,254.16,93,100,4.03,RU,1670015451
17,fort nelson,58.8053,-122.7002,258.11,76,19,0.7,CA,1670015451
18,tarko-sale,64.9225,77.785,256.95,96,87,7.09,RU,1670015451
19,butaritari,3.0707,172.7902,300.51,70,2,7.47,KI,1670015451
20,brodnica,53.2597,19.3965,270.15,70,77,3.6,PL,1670015451
21,wanning,18.8003,110.3967,292.39,91,99,4.78,CN,1670015452
22,vaini,-21.2,-175.2,302.24,79,20,0.51,TO,1670015452
23,dikson,73.5069,80.5464,255.49,97,62,4.05,RU,1670015452
24,sembe,1.6481,14.5806,294.19,96,92,0.34,CG,1670015453
